nonprofit_id,nonprofit_name,nonprofit_opportunity,nonprofit_available_days,nonprofit_time_of_day,nonprofit_location_type,nonprofit_zipcode
2121,Saphros Way Initiative,Community Mapping Volunteer,"Monday, Wednesday",Morning,In Person,94110
2222,Cinterra Bloom,Urban Farming Assistant,"Friday, Saturday, Sunday",Morning,Remote,
2222,Cinterra Bloom,Harvest Day Organizer,"Tuesday, Thursday",Evening,Both,77021
2323,MyndiFold Collective,Legal Aid Intake Volunteer,"Friday, Saturday, Sunday",Morning,Both,85009
2323,MyndiFold Collective,Tenant Rights Educator,"Tuesday, Thursday",Afternoon,Remote,
2424,Volari KinWorks,Conflict Mediation Helper,"Monday, Wednesday",Evening,Remote,
2424,Volari KinWorks,Block Party Volunteer,"Tuesday, Thursday, Saturday",Evening,In Person,30303
2525,Harela Nexus,ESL Class Assistant,"Tuesday, Thursday",Evening,Both,48219
2525,Harela Nexus,Citizenship Test Tutor,"Monday, Tuesday, Wednesday, Thursday",Morning,In Person,48219
2626,RindleFrame Foundation,Art Supplies Curator,"Wednesday, Friday",Evening,Both,85009
2626,RindleFrame Foundation,Youth Art Camp Volunteer,"Friday, Saturday, Sunday",Afternoon,Both,85009
2727,EvraNest Network,Digital Resource Curator,"Monday, Tuesday, Wednesday, Thursday",Evening,Both,75217
2727,EvraNest Network,Seniors Tech Coach,"Monday, Wednesday",Evening,In Person,75217
2828,The Florenth Bridge,Language Exchange Partner,"Monday, Wednesday, Friday",Morning,In Person,48219
2828,The Florenth Bridge,Cultural Night Volunteer,"Wednesday, Friday",Afternoon,In Person,94110
2929,Zenthira Lab,STEM Workshop Assistant,"Monday, Wednesday, Friday",Evening,In Person,19143
2929,Zenthira Lab,Data Entry Support,Thursday,"Morning, Afternoon, Evening",Remote,
3030,Paxtrova Peaceworks,Peer Mediation Guide,"Tuesday, Thursday",Morning,In Person,77021
3030,Paxtrova Peaceworks,Restorative Circle Note Taker,"Tuesday, Thursday",Morning,Both,30303
3131,Juntri Wildkeepers,Trail Clean-up Crew,Saturday,Morning,In Person,94110
3131,Juntri Wildkeepers,Native Plant Tagger,"Monday, Tuesday, Wednesday, Thursday",Afternoon,In Person,94110
3232,Quiverna Youth Hub,Homework Club Volunteer,"Monday, Wednesday, Friday",Evening,In Person,77021
3232,Quiverna Youth Hub,College Essay Reviewer,"Friday, Saturday, Sunday",Morning,Both,60609
3333,Nexari Reach,Wellness Check Caller,Thursday,"Morning, Afternoon, Evening",Remote,
3333,Nexari Reach,Community Census Helper,Saturday,Evening,Both,10027
3434,Blintra Seed Collective,Seed Library Organizer,Thursday,Morning,Both,30303
3434,Blintra Seed Collective,Gardening Journal Designer,"Monday, Wednesday, Friday","Morning, Afternoon, Evening",Both,30303
3535,The Talvyn Guild,Storytelling Night Host,"Friday, Saturday, Sunday",Evening,Remote,
3535,The Talvyn Guild,Event Set-up Crew,Sunday,Evening,In Person,85009
3535,The Talvyn Guild,Costume Lending Librarian,Thursday,Evening,In Person,85009
